totalGre,Quants,Verbal,toeflScore,workEx,Papers,UGScore
313,157,156,108,18,0,55.0
311,160,151,106,30,2,86.6
312,158,154,115,9,0,82.0
313,165,148,101,50,0,71.22
305,157,148,103,0,2,60.5
321,168,153,113,2,0,66.0
312,156,156,101,37,2,59.7
308,156,152,104,30,0,87.0
326,162,164,113,18,2,60.0
316,169,147,96,0,0,81.0
324,167,157,110,12,2,55.55
308,161,147,99,0,0,79.80000000000001
314,164,150,90,2,0,64.4
331,164,167,114,19,0,68.7
319,166,153,102,0,0,63.0
323,170,153,103,0,0,60.0
309,162,147,93,70,0,67.0
306,156,150,93,46,1,64.0
308,157,151,90,24,0,74.0
310,155,155,100,0,0,59.0
315,166,149,96,18,0,79.0
308,157,151,101,0,0,79.5
308,158,150,100,0,0,62.0
307,161,146,75,60,0,71.9
308,163,145,103,0,0,70.0
321,164,157,119,5,0,76.7
306,157,149,91,44,0,62.45
322,167,155,104,21,0,62.0
310,166,144,92,0,0,85.9
313,166,147,97,0,0,82.89999999999999
313,160,153,98,22,1,73.5
310,162,148,99,0,0,62.0
311,163,148,94,27,0,80.0
308,154,154,96,30,0,65.0
311,161,150,103,10,2,75.8
317,158,159,105,40,0,62.0
308,159,149,107,0,0,81.0
314,160,154,103,25,0,71.10000000000001
308,165,143,96,92,0,64.0
310,160,150,110,10,0,80.0
310,165,145,96,1,0,56.0
308,160,148,100,22,2,71.5
317,163,154,118,0,0,75.0
307,159,148,96,0,0,71.0
301,162,139,65,22,1,77.0
317,162,155,80,24,0,67.0
317,165,152,101,0,0,66.0
321,167,154,113,2,0,68.3
324,162,162,85,30,0,79.5
312,170,142,97,12,1,80.19999999999999
325,163,162,112,0,0,70.0
312,162,150,100,1,0,76.7
310,167,143,95,16,0,68.0
313,160,153,95,40,0,67.0
303,157,146,90,29,0,90.0
318,167,151,103,40,0,63.5
302,156,146,99,27,2,71.0
313,168,145,98,30,2,80.5
321,167,154,105,29,2,56.0
311,163,148,75,10,0,71.10000000000001
319,170,149,96,5,0,68.0
314,165,149,98,26,0,82.0
312,163,149,109,60,0,76.9
320,160,160,113,19,0,67.0
311,163,148,91,30,0,72.0
315,162,153,106,4,0,79.7
305,158,147,93,0,0,64.5
310,158,152,116,0,0,60.0
315,167,148,104,7,0,68.89999999999999
312,160,152,108,40,0,83.4
311,159,152,95,20,0,75.0
298,154,144,88,36,0,78.0
312,161,151,99,30,0,76.0
319,160,159,109,7,0,66.0
306,163,143,65,36,0,72.0
309,159,150,97,3,2,71.2
314,166,148,75,0,0,69.5
305,153,152,106,30,2,61.0
320,168,152,94,30,2,71.0
312,158,154,105,0,0,71.5
321,168,153,114,0,0,69.0
301,156,145,95,20,2,75.0
310,159,151,107,38,0,63.2
304,157,147,99,20,0,73.0
308,163,145,85,30,2,80.0
319,159,160,109,20,0,86.0
308,164,144,80,8,0,75.9
320,166,154,112,16,2,65.32
314,160,154,107,15,2,62.22
314,160,154,111,0,0,76.3
310,160,150,99,27,0,82.0
316,154,162,113,30,0,80.60000000000001
307,158,149,90,0,2,72.56
305,155,150,75,42,0,69.6
312,160,152,0,20,0,61.8
316,169,147,96,0,0,81.0
315,167,148,88,25,0,73.0
315,164,151,106,20,0,59.0
